,dis loss,gen loss
0,859986.3273143052,-0.09264726137050544
1,163739.8190378664,-0.009554322371081874
2,19531.393952894094,-0.011018085237487485
3,2461.528974757138,-0.00974697137351837
4,2114.862209895823,-0.05396784382148672
5,862.1984820304799,-0.036897721762505366
6,2854.8341607158186,-0.31593295165234053
7,4789.515197627501,-0.10122566772883665
8,16077.407342762688,-0.32079480550739514
9,7483.638719845517,-0.18505294771695724
10,12299.564686765447,-0.362107389753184
11,11943.85606673694,-0.07301720763622441
12,4475.742541238581,-0.03559998197872027
13,9032.52034520454,-0.05014204375290833
14,8675.745628746108,-0.1078588463569229
15,6575.415250781238,-0.14710781403389453
16,43025.954730616475,-0.2979230182751444
17,17564.381856453416,-0.1411720787980787
18,15761.977186932903,-0.18695958529345116
19,3711.220472266333,-0.17470817699068206
